accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_017650925.1,bac120,Bacteria,UBA3054,UBA3054,UBA3054,UBA3054,UBA3054,UBA3054 sp017650925
GB_GCA_002441095.1,bac120,Bacteria,UBA6262,UBA6262,UBA6262,UBA6262,UBA6262,UBA6262 sp002441095
GB_GCA_009619095.1,bac120,Bacteria,UBA6262,UBA6262,WVXT01,WVXT01,WVXT01,WVXT01 sp009619095
GB_GCA_002440765.1,bac120,Bacteria,UBA6266,UBA6266,UBA6266,UBA6266,UBA6266,UBA6266 sp002440765
GB_GCA_016933315.1,bac120,Bacteria,UBA6266,UBA6266,UBA6266,UBA6266,UBA6266,UBA6266 sp016933315
GB_GCA_016192135.1,bac120,Bacteria,UBA8248,UBA8248,UBA8248,UBA8248,2-12-FULL-69-37,2-12-FULL-69-37 sp016192135
GB_GCA_016190025.1,bac120,Bacteria,UBA8248,UBA8248,JACPRG01,JACPRG01,JACPRG01,JACPRG01 sp016190025
GB_GCA_002780065.1,bac120,Bacteria,UBA8481,UBA8481,UBA8481,UBA8481,UBA8481,UBA8481 sp002780065
GB_GCA_003697085.1,bac120,Bacteria,UBA8481,UBA8481,UBA8481,J006,J006,J006 sp003697085
GB_GCA_001873945.1,bac120,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21 sp001873945
GB_GCA_003485015.1,bac120,Bacteria,UBA9089,UBA9089,UBA9089,UBA9089,UBA9089,UBA9089 sp003485015
GB_GCA_002410925.1,bac120,Bacteria,UBP13,UBA5359,UBA5359,UBA5359,UBA5359,UBA5359 sp002410925
GB_GCA_003645115.1,bac120,Bacteria,UBP14,UBA6098,UBA6098,B30-G16,B30-G16,B30-G16 sp003645115
GB_GCA_011371545.1,bac120,Bacteria,UBP14,UBA6098,DTLL01,DTLL01,DTLL01,DTLL01 sp011371545
GB_GCA_011368175.1,bac120,Bacteria,UBP15,UBA6099,UBA6099,DSWB01,DSWB01,DSWB01 sp011368175
GB_GCA_002069885.1,bac120,Bacteria,UBP15,UBA6099,UBA6099,UBA6099,UBA6099,UBA6099 sp002069885
GB_GCA_002402105.1,bac120,Bacteria,UBP17,UBA6191,UBA6191,UBA6191,GCA-2402105,GCA-2402105 sp002402105
GB_GCA_002422125.1,bac120,Bacteria,UBP17,UBA6191,UBA6191,UBA6191,UBA6191,UBA6191 sp002422125
GB_GCA_002478245.1,bac120,Bacteria,UBP18,UBA7526,UBA7526,UBA7526,UBA7526,UBA7526 sp002478245
GB_GCA_011049955.1,bac120,Bacteria,UBP18,UBA7526,UBA7526,UBA7526,DRGV01,DRGV01 sp011049955
GB_GCA_002428325.1,bac120,Bacteria,UBP4,UBA4092,UBA4092,UBA4092,UBA4092,UBA4092 sp002428325
GB_GCA_007136595.1,bac120,Bacteria,UBP6,UBA1177,UBA1177,UBA1177,SLGQ01,SLGQ01 sp007136595
GB_GCA_017538365.1,bac120,Bacteria,UBP6,UBA1177,UBA1177,UBA1177,UBA1177,UBA1177 sp017538365
GB_GCA_014384545.1,bac120,Bacteria,UBP7,UBA6624,UBA6624,UBA6624,NIOZ-UU106,NIOZ-UU106 sp014384545
